,car,price,specs
1464,BMW 2 SERIES,"£10,499","2015
•
61,962 miles
•
Petrol
•
Manual"
1465,BMW 3 Series,"£21,490","2019
•
16,000 miles
•
Diesel
•
Manual"
1466,BMW 3 Series,"£19,990","2018
•
29,000 miles
•
Petrol
•
Automatic"
1467,BMW 2 Series Active Tourer,"£16,490","2018
•
16,000 miles
•
Petrol
•
Manual"
1468,BMW 3 Series,"£12,750","2014
•
81,213 miles
•
Diesel
•
Automatic"
1469,BMW 1 Series,"£8,595","2013
•
42,576 miles
•
Diesel
•
Manual"
1470,BMW 1 SERIES,"£11,990","2017
•
51,302 miles
•
Diesel
•
Manual"
1471,BMW X1,"£10,590","2013
•
44,355 miles
•
Diesel
•
Automatic"
1472,BMW M4,"£30,985","2015
•
54,451 miles
•
Petrol
•
Semi automatic"
1473,BMW 7 SERIES,"£27,485","2017
•
78,899 miles
•
Diesel
•
Automatic"
1474,BMW 7 SERIES,"£24,985","2016
•
87,762 miles
•
Diesel
•
Automatic"
1475,BMW 1 SERIES,"£22,485
 was £22,985","2017
•
32,854 miles
•
Petrol
•
Automatic"
1476,BMW 1 SERIES,"£20,985","2016
•
27,050 miles
•
Petrol
•
Automatic"
1477,BMW X5,"£19,985","2013
•
72,280 miles
•
Diesel
•
Automatic"
1478,BMW 5 SERIES,"£18,485","2016
•
49,055 miles
•
Diesel
•
Automatic"
1479,BMW 4 SERIES,"£16,485","2015
•
48,390 miles
•
Diesel
•
Automatic"
1480,BMW 1 SERIES,"£6,695","2010
•
49,639 miles
•
Petrol
•
Automatic"
1481,BMW 1 SERIES,"£4,995","2007
•
56,479 miles
•
Petrol
•
Automatic"
1482,BMW 118d,"£10,995","2012
•
45,000 miles
•
Diesel
•
Manual"
1483,BMW 6 SERIES,"£17,499","2014
•
76,000 miles
•
Diesel
•
Automatic"
1484,BMW 6 SERIES,"£15,499","2013
•
96,000 miles
•
Diesel
•
Automatic"
1485,BMW Z4,"£14,499","2011
•
65,000 miles
•
Petrol
•
Automatic"
1486,BMW i3,"£13,999","2015
•
47,000 miles
•
Hybrid
•
Automatic"
1487,BMW 1 SERIES,"£12,999","2015
•
49,000 miles
•
Petrol
•
Manual"
1488,Bmw X1,"£7,490","2010
•
108,000 miles
•
Diesel
•
Automatic"
1489,BMW X5,"£13,871","2011
•
94,000 miles
•
Diesel
•
Automatic"
1490,BMW X5,"£12,345","2010
•
97,000 miles
•
Diesel
•
Automatic"
1491,BMW 3 SERIES,"£8,977
 was £9,411","2011
•
34,000 miles
•
Petrol
•
Automatic"
1492,BMW 4 Series,"£21,000","2017
•
35,885 miles
•
Diesel
•
Manual"
1493,BMW X1,"£20,750","2017
•
39,571 miles
•
Petrol
•
Semiauto"
1494,BMW 4 Series,"£15,995","2016
•
84,000 miles
•
Diesel
•
Automatic"
1495,BMW Z4,"£8,995
 was £9,495","2010
•
84,000 miles
•
Petrol
•
Manual"
1496,BMW 3 Series,"£8,995","2012
•
72,000 miles
•
Diesel
•
Automatic"
1497,BMW 1 Series,"£8,495","2014
•
75,000 miles
•
Petrol
•
Manual"
1498,BMW 3 SERIES,"£7,695","2011
•
78,000 miles
•
Diesel
•
Manual"
1499,BMW 3 SERIES,"£10,995","2014
•
101,000 miles
•
Diesel
•
Automatic"
1500,BMW 1 SERIES,"£5,995","2012
•
91,000 miles
•
Petrol
•
Manual"
1501,BMW 1 SERIES,"£26,250","2018
•
13,679 miles
•
Petrol
•
Automatic"
1502,BMW 1 SERIES,"£20,995","2016
•
46,346 miles
•
Petrol
•
Automatic"
1503,BMW X4,"£20,995","2014
•
70,697 miles
•
Diesel
•
Automatic"
1504,BMW 1 SERIES,"£20,000","2016
•
17,011 miles
•
Petrol
•
Manual"
1505,BMW 1 SERIES,"£7,995","2012
•
80,904 miles
•
Petrol
•
Manual"
1506,BMW X1,"£9,499","2012
•
88,242 miles
•
Diesel
•
Manual"
1507,BMW X1,"£8,999","2012
•
59,035 miles
•
Diesel
•
Manual"
1508,BMW 3 SERIES,"£8,999","2013
•
110,940 miles
•
Diesel
•
Manual"
